"","Wheat15A","Wheat15B","Wheat15C","Wheat1A","Wheat1B","Wheat1C","Wheat20A","Wheat20B","Wheat20C","Wheat23A","Wheat23B","Wheat23C","Wheat27A","Wheat27B","Wheat27C","Wheat2A","Wheat2B","Wheat2C","Wheat31A","Wheat31B","Wheat31C","Wheat3A","Wheat3B","Wheat3C","Wheat4A","Wheat4B","Wheat4C"
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales",0.98,0.928888888888889,0.315555555555556,0.957777777777778,0.0133333333333333,0.0622222222222222,0.371111111111111,0.224444444444444,0.395555555555556,0.0111111111111111,0.0155555555555556,0.988888888888889,0.386666666666667,0.151111111111111,0.6,0.833333333333333,0.0955555555555556,0.00444444444444444,0.00666666666666667,0.395555555555556,0.0355555555555556,0.246666666666667,0.00888888888888889,0.386666666666667,0.0688888888888889,0.32,0.0977777777777778
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales",0.00444444444444444,0.0422222222222222,0.275555555555556,0.0133333333333333,0.804444444444444,0.0155555555555556,0.504444444444444,0,0.124444444444444,0.00444444444444444,0.871111111111111,0,0.533333333333333,0.297777777777778,0.0288888888888889,0.0555555555555556,0.0844444444444444,0.388888888888889,0,0,0,0.357777777777778,0.862222222222222,0,0.302222222222222,0.142222222222222,0.771111111111111
"k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhizobiales",0.00222222222222222,0.00222222222222222,0.0577777777777778,0.00222222222222222,0.0111111111111111,0.02,0.0644444444444444,0.386666666666667,0.0177777777777778,0.873333333333333,0.00888888888888889,0.00222222222222222,0.0333333333333333,0.157777777777778,0.00444444444444444,0.0577777777777778,0,0.115555555555556,0.844444444444444,0.00888888888888889,0.388888888888889,0.32,0.00444444444444444,0,0.415555555555556,0.344444444444444,0.00444444444444444
"k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Micrococcales",0.00444444444444444,0.00666666666666667,0,0,0,0,0.0155555555555556,0.0866666666666667,0.0533333333333333,0,0.00222222222222222,0.00222222222222222,0,0.00666666666666667,0.0311111111111111,0.0111111111111111,0.733333333333333,0.406666666666667,0.00444444444444444,0.544444444444444,0,0,0,0.56,0.0266666666666667,0.0377777777777778,0.0311111111111111
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Betaproteobacteriales",0,0.00444444444444444,0.0333333333333333,0.00222222222222222,0.08,0.633333333333333,0.0288888888888889,0.06,0.0533333333333333,0.0133333333333333,0.0177777777777778,0.00222222222222222,0.00444444444444444,0.142222222222222,0.0133333333333333,0.00222222222222222,0.00444444444444444,0.04,0.0955555555555556,0.0244444444444444,0.313333333333333,0.0177777777777778,0.00444444444444444,0.00888888888888889,0.0822222222222222,0.0111111111111111,0.0244444444444444
"k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales",0.00222222222222222,0.00666666666666667,0.188888888888889,0.00444444444444444,0.0511111111111111,0.137777777777778,0.00888888888888889,0.128888888888889,0.155555555555556,0.0577777777777778,0.0466666666666667,0,0.0155555555555556,0.0466666666666667,0.00444444444444444,0.00222222222222222,0.0222222222222222,0.0177777777777778,0.0377777777777778,0.0133333333333333,0.148888888888889,0.0355555555555556,0.0488888888888889,0.0222222222222222,0.0555555555555556,0.0422222222222222,0.0266666666666667
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Orbales",0.00666666666666667,0.00666666666666667,0.0844444444444444,0.00888888888888889,0.0266666666666667,0.08,0.00444444444444444,0.08,0.1,0.0288888888888889,0.0222222222222222,0.00444444444444444,0.00888888888888889,0.0177777777777778,0,0.00444444444444444,0.0111111111111111,0.0111111111111111,0.00888888888888889,0.00222222222222222,0.0866666666666667,0.02,0.0244444444444444,0.0111111111111111,0.04,0.0177777777777778,0.0111111111111111
"k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales",0,0,0,0,0,0,0,0,0,0,0,0,0.0111111111111111,0.171111111111111,0.304444444444444,0.0244444444444444,0,0,0,0,0,0,0,0,0,0.0688888888888889,0.0155555555555556
"k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales",0,0.00222222222222222,0.0444444444444444,0,0.0133333333333333,0.0511111111111111,0.00222222222222222,0.0333333333333333,0.06,0.0111111111111111,0.0155555555555556,0,0.00666666666666667,0.00222222222222222,0,0,0.00888888888888889,0,0.00222222222222222,0,0.0222222222222222,0.00222222222222222,0.0111111111111111,0.00888888888888889,0.00888888888888889,0.0133333333333333,0.0177777777777778
"k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Kineosporiales",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0,0,0.0111111111111111,0,0,0,0,0,0,0
"k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Corynebacteriales",0,0,0,0.0111111111111111,0,0,0,0,0,0,0,0,0,0.00222222222222222,0.0133333333333333,0.00666666666666667,0,0,0,0,0,0,0,0.00222222222222222,0,0,0
"k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Sphingomonadales",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0355555555555556,0,0,0,0
"k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Propionibacteriales",0,0,0,0,0,0,0,0,0.0311111111111111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Acetobacterales",0,0,0,0,0,0,0,0,0.00888888888888889,0,0,0,0,0.00444444444444444,0,0.00222222222222222,0,0,0,0,0.00444444444444444,0,0,0,0,0.00222222222222222,0
